Press (GPa)	Temp (K)	Density (g/cm^-3)	S (J/(K*g))
1.122e-09	891.2509381337459	1e-09	1.151e-09
1.122e-09	1000.0	1e-09	1.953e-09
1.122e-09	1122.018454301963	1e-09	5.396e-09
1.122e-09	1258.9254117941675	1e-09	1.237e-08
1.122e-09	1412.537544622754	1e-09	3.4908e-08
1.122e-09	1584.893192461114	1e-09	1.25363e-07
1.122e-09	1778.2794100389228	1e-09	2.20374e-07
1.122e-09	1995.2623149688789	1e-09	9.04003e-07
1.122e-09	2238.72113856834	1e-09	2.243262e-06
1.122e-09	2511.88643150958	1e-09	8.543976e-06
1.122e-09	2818.382931264455	1e-09	1.088178146816393e+18
1.122e-09	3162.2776601683795	1e-09	0.11157579758
1.122e-09	3548.133892335753	1e-09	0.001210876916
1.122e-09	3981.0717055349733	1e-09	0.00280924748
1.122e-09	4466.835921509631	1e-09	0.011432204907
1.122e-09	5011.872336272725	1e-09	0.072233723097
1.122e-09	5623.413251903491	1e-09	0.852962621606
1.122e-09	6309.57344480193	1e-09	2.250608734434
1.122e-09	7079.457843841381	1e-09	10.043844955739
1.122e-09	7943.282347242814	1e-09	132.556186071986
1.122e-09	8912.509381337459	1e-09	9155.878059757863
1.122e-09	10000.0	1e-09	7.244359600750128e+189
1.122e-09	11220.18454301963	1e-09	9429.746114599013
1.122e-09	12589.254117941662	1e-09	1.9440167385130113e+51
1.122e-09	14125.375446227554	1e-09	7.93779721690122e+48
1.122e-09	15848.93192461114	1e-09	2.3453086212002594e+87
1.122e-09	17782.794100389227	1e-09	6.409143566447697e+84
1.122e-09	19952.62314968879	1e-09	3.278687311745448e+65
1.122e-09	22387.21138568338	1e-09	2.345848710644951e+48
1.122e-09	25118.864315095823	1e-09	2.6097565724941597e+32
1.122e-09	28183.82931264455	1e-09	3.720488787200862e+23
1.122e-09	31622.776601683792	1e-09	7.504123968558049e+43
1.122e-09	35481.33892335753	1e-09	1.6330519478943113e+114
1.122e-09	39810.71705534969	1e-09	1.3614446824659066e+168
1.122e-09	44668.359215096345	1e-09	1.892343618644918e+127
1.122e-09	50118.72336272725	1e-09	4.487453899331332e+73
1.122e-09	56234.13251903491	1e-09	3.978322628232945e+59
1.122e-09	63095.7344480193	1e-09	9.912883449478965e+65
1.122e-09	70794.57843841374	1e-09	9.638290236239587e+69
1.122e-09	79432.82347242821	1e-09	7.262731687606725e+70
1.122e-09	89125.0938133746	1e-09	8.920721887252731e+72
1.122e-09	100000.0	1e-09	4.428942071986323e+76
1.122e-09	112201.84543019629	1e-09	2.5550535105132353e+79
1.122e-09	125892.54117941661	1e-09	9.894640051300844e+81
1.122e-09	141253.75446227554	1e-09	7.978109633536624e+84
1.122e-09	158489.3192461114	1e-09	1.93107881755806e+88
1.122e-09	177827.94100389228	1e-09	2.1134890398366607e+91
1.122e-09	199526.2314968879	1e-09	4.655860935229658e+94
1.122e-09	223872.11385683378	1e-09	8.689604292862878e+97
1.122e-09	251188.6431509582	1e-09	2.5822601906346326e+101
1.122e-09	281838.2931264455	1e-09	2.494594726942987e+104
1.122e-09	316227.7660168379	1e-09	3.14774831410135e+107
1.122e-09	354813.3892335753	1e-09	1.3273944577297538e+111
1.122e-09	398107.1705534969	1e-09	3.3651156937549154e+114
1.122e-09	446683.5921509635	1e-09	1.4521116175877628e+118
1.122e-09	501187.2336272725	1e-09	6.295061828572071e+121
1.122e-09	562341.3251903491	1e-09	7.430191378967173e+125
1.122e-09	630957.344480193	1e-09	9.817479430199624e+128
1.122e-09	707945.7843841374	1e-09	1.1694993910199033e+133
1.122e-09	794328.2347242822	1e-09	5.52077439280745e+136
1.122e-09	891250.9381337459	1e-09	6.66806769213641e+140
1.122e-09	1000000.0	1e-09	1.57217179246294e+32
1.122e-09	1122018.4543019629	1e-09	3.6794254e-05
1.122e-09	1258925.411794166	1e-09	1.06231e-07
1.122e-09	1412537.5446227554	1e-09	0.000190519749
1.122e-09	1584893.1924611141	1e-09	1.150270547790116e+45
1.122e-09	1778279.410038923	1e-09	9.629417129716
1.122e-09	1995262.3149688789	1e-09	0.000578655386
1.122e-09	2238721.138568338	1e-09	4.308241104793761e+52
1.122e-09	2511886.4315095823	1e-09	9e-12
1.122e-09	2818382.931264455	1e-09	2.1966962e-05
1.122e-09	3162277.6601683795	1e-09	1.2008810730146797e+32
1.122e-09	3548133.892335753	1e-09	1.094435e-06
1.122e-09	3981071.7055349695	1e-09	0.017929575197
1.122e-09	4466835.921509635	1e-09	2.079936e-06
1.122e-09	5011872.336272725	1e-09	7.347845e-06
1.122e-09	5623413.251903491	1e-09	7.161104e-06
1.122e-09	6309573.44480193	1e-09	0.083235769718
1.122e-09	7079457.843841373	1e-09	1.410262636948742e+47
1.122e-09	7943282.347242822	1e-09	1.7498466886246654e+45
1.122e-09	8912509.381337458	1e-09	2.6488661e-05
1.122e-09	10000000.0	1e-09	0.002829827743
1.122e-09	11220184.54301963	1e-09	240.768684561245
1.122e-09	12589254.117941663	1e-09	8.9910415e-05
1.122e-09	14125375.446227554	1e-09	265888.773070508
1.122e-09	15848931.924611142	1e-09	0.006826529951
1.122e-09	17782794.100389227	1e-09	6.8944559317091655e+62
1.122e-09	19952623.149688788	1e-09	10774.57131456369
1.122e-09	22387211.385683376	1e-09	2.9241523778432948e+62
1.122e-09	25118864.315095823	1e-09	3.779201079618767e+37
1.122e-09	28183829.31264455	1e-09	2.710191631890886e+93
1.122e-09	31622776.60168379	1e-09	0.167837885717
1.122e-09	35481338.92335753	1e-09	4.80839348449731e+96
1.122e-09	39810717.05534969	1e-09	0.50076042575
1.122e-09	44668359.21509635	1e-09	0.002753150801
1.122e-09	50118723.36272725	1e-09	1.236516739349
1.122e-09	56234132.51903491	1e-09	16.006633458754
1.122e-09	63095734.448019296	1e-09	21473359748.208595
1.122e-09	70794578.43841374	1e-09	1.8706821403658248e+112
1.122e-09	79432823.47242822	1e-09	3.0619634336907073e+93
1.122e-09	89125093.8133746	1e-09	44.238459980888
1.122e-09	100000000.0	1e-09	7.244359600750128e+189
1.259e-09	100.0	3.1298246019943685e-09	9e-12
1.259e-09	112.2018454301963	1.9148731076958334e-09	2.1e-11
1.259e-09	125.89254117941675	1.8156828856459656e-09	9e-12
1.259e-09	141.2537544622754	1.7996166392601152e-09	3e-12
1.259e-09	158.48931924611142	1.4231805506571874e-09	3e-12
1.259e-09	177.82794100389228	1.837426603107419e-09	9.5e-11
1.259e-09	199.52623149688787	1.5306292205780017e-09	9e-12
1.259e-09	223.872113856834	1.44963945254553e-09	3e-12
1.259e-09	251.18864315095797	1.1470966197735553e-09	1e-11
1.259e-09	281.8382931264455	1.6667865987607874e-09	1.2e-11
1.259e-09	316.22776601683796	1e-09	2.1e-11
1.259e-09	354.8133892335753	1.5361018068586374e-09	1.8e-11
1.259e-09	398.1071705534973	1e-09	3.1e-11
1.259e-09	446.683592150963	1e-09	2.6e-11
1.259e-09	501.18723362727246	1e-09	5.7e-11
1.259e-09	562.341325190349	1e-09	7.4e-11
1.259e-09	630.957344480193	1e-09	1.37e-10
1.259e-09	707.945784384138	1e-09	4.71e-10
1.259e-09	794.3282347242813	1e-09	2.35e-10
1.259e-09	891.2509381337459	1e-09	5.33e-10
1.259e-09	1000.0	1e-09	8.75e-10
1.259e-09	1122.018454301963	1e-09	2.349e-09
1.259e-09	1258.9254117941675	1e-09	4.822e-09
1.259e-09	1412.537544622754	1e-09	1.2906e-08
1.259e-09	1584.893192461114	1e-09	4.2854e-08
1.259e-09	1778.2794100389228	1e-09	7.1497e-08
1.259e-09	1995.2623149688789	1e-09	2.66637e-07
1.259e-09	2238.72113856834	1e-09	6.32922e-07
1.259e-09	2511.88643150958	1e-09	2.22705e-06
1.259e-09	2818.382931264455	1e-09	1.4447742743801038e+16
1.259e-09	3162.2776601683795	1e-09	0.02734387122
1.259e-09	3548.133892335753	1e-09	0.0002366737
1.259e-09	3981.0717055349733	1e-09	0.000536784541
1.259e-09	4466.835921509631	1e-09	0.002048283186
1.259e-09	5011.872336272725	1e-09	0.011783654489
1.259e-09	5623.413251903491	1e-09	0.121638204247
1.259e-09	6309.57344480193	1e-09	0.313855685277
1.259e-09	7079.457843841381	1e-09	1.332907464231
1.259e-09	7943.282347242814	1e-09	15.349703821031
1.259e-09	8912.509381337459	1e-09	842.170452198279
1.259e-09	10000.0	1e-09	7.244359600750128e+189
1.259e-09	11220.18454301963	1e-09	956.973694587658
1.259e-09	12589.254117941662	1e-09	2.8041419854536987e+48
1.259e-09	14125.375446227554	1e-09	2.027215882069658e+45
1.259e-09	15848.93192461114	1e-09	5.962110213666614e+81
1.259e-09	17782.794100389227	1e-09	4.296353425698687e+79
1.259e-09	19952.62314968879	1e-09	3.4427065038944644e+61
1.259e-09	22387.21138568338	1e-09	2.2407840267860597e+45
1.259e-09	25118.864315095823	1e-09	1.7210758077588363e+30
1.259e-09	28183.82931264455	1e-09	7.123607787354991e+21
1.259e-09	31622.776601683792	1e-09	1.653484012171162e+41
1.259e-09	35481.33892335753	1e-09	2.2803420720004398e+108
1.259e-09	39810.71705534969	1e-09	1.0641430182242837e+160
1.259e-09	44668.359215096345	1e-09	1.548816618912473e+121
1.259e-09	50118.72336272725	1e-09	1.0034598491478229e+70
1.259e-09	56234.13251903491	1e-09	3.988411869090589e+56
1.259e-09	63095.7344480193	1e-09	5.902010801718454e+62
1.259e-09	70794.57843841374	1e-09	4.3531135922964135e+66
1.259e-09	79432.82347242821	1e-09	3.3589226273449755e+67
1.259e-09	89125.0938133746	1e-09	3.7722459418486066e+69
1.259e-09	100000.0	1e-09	1.4825180851459757e+73
1.259e-09	112201.84543019629	1e-09	7.40798339152731e+75
1.259e-09	125892.54117941661	1e-09	2.532794765689978e+78
1.259e-09	141253.75446227554	1e-09	1.7591383640826562e+81
1.259e-09	158489.3192461114	1e-09	3.5310185572375713e+84
1.259e-09	177827.94100389228	1e-09	3.316652721504388e+87
1.259e-09	199526.2314968879	1e-09	6.137620051647895e+90
1.259e-09	223872.11385683378	1e-09	9.70509967245478e+93
1.259e-09	251188.6431509582	1e-09	2.42102904673618e+97
1.259e-09	281838.2931264455	1e-09	2.04173794466954e+100
1.259e-09	316227.7660168379	1e-09	2.2438819237827616e+103
1.259e-09	354813.3892335753	1e-09	7.925013304804735e+106
1.259e-09	398107.1705534969	1e-09	1.717908387157586e+110
1.259e-09	446683.5921509635	1e-09	6.251726927756951e+113
1.259e-09	501187.2336272725	1e-09	2.285598803375402e+117
1.259e-09	562341.3251903491	1e-09	2.2181964198002374e+121
1.259e-09	630957.344480193	1e-09	2.6001595631652244e+124
1.259e-09	707945.7843841374	1e-09	2.5585858869055694e+128
1.259e-09	794328.2347242822	1e-09	1.0351421666793112e+132
1.259e-09	891250.9381337459	1e-09	1.0447202192208132e+136
1.259e-09	1000000.0	1e-09	9.40805830036592e+30
1.259e-09	1122018.4543019629	1e-09	2.2712242e-05
1.259e-09	1258925.411794166	1e-09	7.8848e-08
1.259e-09	1412537.5446227554	1e-09	0.000113026427
1.259e-09	1584893.1924611141	1e-09	3.365115693754915e+43
1.259e-09	1778279.410038923	1e-09	4.185043726669
1.259e-09	1995262.3149688789	1e-09	0.000337598105
1.259e-09	2238721.138568338	1e-09	8.671615240918272e+50
1.259e-09	2511886.4315095823	1e-09	9e-12
1.259e-09	2818382.931264455	1e-09	1.4299801e-05
1.259e-09	3162277.6601683795	1e-09	9.272567425805906e+30
1.259e-09	3548133.892335753	1e-09	7.81556e-07
1.259e-09	3981071.7055349695	1e-09	0.00980844136
1.259e-09	4466835.921509635	1e-09	1.469095e-06
1.259e-09	5011872.336272725	1e-09	5.030139e-06
1.259e-09	5623413.251903491	1e-09	5.089792e-06
1.259e-09	6309573.44480193	1e-09	0.044687905503
1.259e-09	7079457.843841373	1e-09	5.3604345781614145e+45
1.259e-09	7943282.347242822	1e-09	7.606765007662268e+43
1.259e-09	8912509.381337458	1e-09	1.7875574e-05
1.259e-09	10000000.0	1e-09	0.001695196316
1.259e-09	11220184.54301963	1e-09	108.26797151273
1.259e-09	12589254.117941663	1e-09	5.9333504e-05
1.259e-09	14125375.446227554	1e-09	101578.08007969006
1.259e-09	15848931.924611142	1e-09	0.004071833396
1.259e-09	17782794.100389227	1e-09	1.3893126817367364e+61
1.259e-09	19952623.149688788	1e-09	4563.520439214677
1.259e-09	22387211.385683376	1e-09	6.379696226625793e+60
1.259e-09	25118864.315095823	1e-09	3.1109999204245483e+36
1.259e-09	28183829.31264455	1e-09	1.2589254117941507e+91
1.259e-09	31622776.60168379	1e-09	0.095150264526
1.259e-09	35481338.92335753	1e-09	2.0511621788255542e+94
1.259e-09	39810717.05534969	1e-09	0.279209377262
1.259e-09	44668359.21509635	1e-09	0.001741085104
1.259e-09	50118723.36272725	1e-09	0.681600656406
1.259e-09	56234132.51903491	1e-09	8.359879162612
1.259e-09	63095734.448019296	1e-09	6988757961.347106
1.259e-09	70794578.43841374	1e-09	4.698941086052123e+109
1.259e-09	79432823.47242822	1e-09	1.9952623149688664e+91
1.259e-09	89125093.8133746	1e-09	23.035625001175
1.259e-09	100000000.0	1e-09	7.244359600750128e+189
1.413e-09	100.0	3.967710712149508e-09	9e-12
1.413e-09	112.2018454301963	2.9548129926802355e-09	1.7e-11
1.413e-09	125.89254117941675	1.903750366709556e-09	9e-12
1.413e-09	141.2537544622754	1.870466782522527e-09	3e-12
1.413e-09	158.48931924611142	1.5461442155713114e-09	3e-12
1.413e-09	177.82794100389228	1.8669814375471306e-09	6e-11
1.413e-09	199.52623149688787	1.5984902807915731e-09	9e-12
1.413e-09	223.872113856834	1.5150605851032584e-09	3e-12
1.413e-09	251.18864315095797	1.2393672048206793e-09	9e-12
1.413e-09	281.8382931264455	1.674403025255063e-09	1.1e-11
1.413e-09	316.22776601683796	1.0587416544055188e-09	1.9e-11
1.413e-09	354.8133892335753	1.5420554834704738e-09	1.5e-11
1.413e-09	398.1071705534973	1e-09	2.5e-11
1.413e-09	446.683592150963	1e-09	2.1e-11
1.413e-09	501.18723362727246	1e-09	4.3e-11
1.413e-09	562.341325190349	1e-09	5.3e-11
1.413e-09	630.957344480193	1e-09	9.4e-11
1.413e-09	707.945784384138	1e-09	3.02e-10
1.413e-09	794.3282347242813	1e-09	1.3e-10
1.413e-09	891.2509381337459	1e-09	2.64e-10
1.413e-09	1000.0	1e-09	4.18e-10
1.413e-09	1122.018454301963	1e-09	1.117e-09
1.413e-09	1258.9254117941675	1e-09	2.015e-09
1.413e-09	1412.537544622754	1e-09	5.188e-09
1.413e-09	1584.893192461114	1e-09	1.6061e-08
1.413e-09	1778.2794100389228	1e-09	2.4976e-08
1.413e-09	1995.2623149688789	1e-09	8.4994e-08
1.413e-09	2238.72113856834	1e-09	1.93055e-07
1.413e-09	2511.88643150958	1e-09	6.29086e-07
1.413e-09	2818.382931264455	1e-09	232380670251764.0
1.413e-09	3162.2776601683795	1e-09	0.007112953998
1.413e-09	3548.133892335753	1e-09	5.059528e-05
1.413e-09	3981.0717055349733	1e-09	0.00011204952
1.413e-09	4466.835921509631	1e-09	0.000401319257
1.413e-09	5011.872336272725	1e-09	0.002107511728
1.413e-09	5623.413251903491	1e-09	0.019098532586
1.413e-09	6309.57344480193	1e-09	0.04812602585
1.413e-09	7079.457843841381	1e-09	0.196435510569
1.413e-09	7943.282347242814	1e-09	1.963360276836
1.413e-09	8912.509381337459	1e-09	86.238262915177
1.413e-09	10000.0	1e-09	7.244359600750128e+189
1.413e-09	11220.18454301963	1e-09	107.176606008312
1.413e-09	12589.254117941662	1e-09	4.957925539063065e+45
1.413e-09	14125.375446227554	1e-09	7.229362466614409e+41
1.413e-09	15848.93192461114	1e-09	2.4865660513079448e+76
1.413e-09	17782.794100389227	1e-09	4.4463126746910475e+74
1.413e-09	19952.62314968879	1e-09	4.984252094042532e+57
1.413e-09	22387.21138568338	1e-09	2.7158138575883395e+42
1.413e-09	25118.864315095823	1e-09	1.3443117666713133e+28
1.413e-09	28183.82931264455	1e-09	1.5552492479174682e+20
1.413e-09	31622.776601683792	1e-09	4.4463126746911204e+38
1.413e-09	35481.33892335753	1e-09	4.87528490103389e+102
1.413e-09	39810.71705534969	1e-09	1.4723125024327403e+152
1.413e-09	44668.359215096345	1e-09	1.923091728910185e+115
1.413e-09	50118.72336272725	1e-09	2.8641779699065386e+66
1.413e-09	56234.13251903491	1e-09	4.870796664925407e+53
1.413e-09	63095.7344480193	1e-09	4.332115230872273e+59
1.413e-09	70794.57843841374	1e-09	2.4361274198060086e+63
1.413e-09	79432.82347242821	1e-09	1.9177853644826295e+64
1.413e-09	89125.0938133746	1e-09	1.9683394644420517e+66
1.413e-09	100000.0	1e-09	6.14327561270515e+69
1.413e-09	112201.84543019629	1e-09	2.6613377849246176e+72
1.413e-09	125892.54117941661	1e-09	8.037111622154063e+74
1.413e-09	141253.75446227554	1e-09	4.812824218676038e+77
1.413e-09	158489.3192461114	1e-09	8.031561699226466e+80
1.413e-09	177827.94100389228	1e-09	6.48186527474082e+83
1.413e-09	199526.2314968879	1e-09	1.0104155005281972e+87
1.413e-09	223872.11385683378	1e-09	1.3551894123510515e+90
1.413e-09	251188.6431509582	1e-09	2.831391995799367e+93
1.413e-09	281838.2931264455	1e-09	2.094112455850883e+96
1.413e-09	316227.7660168379	1e-09	2.004472027365192e+99
1.413e-09	354813.3892335753	1e-09	5.929253245799945e+102
1.413e-09	398107.1705534969	1e-09	1.101539309541419e+106
1.413e-09	446683.5921509635	1e-09	3.372873086588734e+109
1.413e-09	501187.2336272725	1e-09	1.04712854805089e+113
1.413e-09	562341.3251903491	1e-09	8.356030182312423e+116
1.413e-09	630957.344480193	1e-09	8.66961875758193e+119
1.413e-09	707945.7843841374	1e-09	7.079457843841286e+123
1.413e-09	794328.2347242822	1e-09	2.449063241844802e+127
1.413e-09	891250.9381337459	1e-09	2.070141348791054e+131
1.413e-09	1000000.0	1e-09	5.9442901519769145e+29
1.413e-09	1122018.4543019629	1e-09	1.416022e-05
1.413e-09	1258925.411794166	1e-09	5.8879e-08
1.413e-09	1412537.5446227554	1e-09	6.7767271e-05
1.413e-09	1584893.1924611141	1e-09	1.0517196785351551e+42
1.413e-09	1778279.410038923	1e-09	1.848842858162
1.413e-09	1995262.3149688789	1e-09	0.00019906275
1.413e-09	2238721.138568338	1e-09	1.8732683693442e+49
1.413e-09	2511886.4315095823	1e-09	9e-12
1.413e-09	2818382.931264455	1e-09	9.38534e-06
1.413e-09	3162277.6601683795	1e-09	7.492038492127519e+29
1.413e-09	3548133.892335753	1e-09	5.61643e-07
1.413e-09	3981071.7055349695	1e-09	0.005426252513
1.413e-09	4466835.921509635	1e-09	1.044335e-06
1.413e-09	5011872.336272725	1e-09	3.467369e-06
1.413e-09	5623413.251903491	1e-09	3.646784e-06
1.413e-09	6309573.44480193	1e-09	0.024261631382
1.413e-09	7079457.843841373	1e-09	2.1512951592892103e+44
1.413e-09	7943282.347242822	1e-09	3.4833731503601304e+42
1.413e-09	8912509.381337458	1e-09	1.2150104e-05
1.413e-09	10000000.0	1e-09	0.00102451896
1.413e-09	11220184.54301963	1e-09	49.362824305945
1.413e-09	12589254.117941663	1e-09	3.9432108e-05
1.413e-09	14125375.446227554	1e-09	39436.648538098016
1.413e-09	15848931.924611142	1e-09	0.002449740037
1.413e-09	17782794.100389227	1e-09	2.975774377372844e+59
1.413e-09	19952623.149688788	1e-09	1960.198262928797
1.413e-09	22387211.385683376	1e-09	1.476046366385642e+59
1.413e-09	25118864.315095823	1e-09	2.6607250597987924e+35
1.413e-09	28183829.31264455	1e-09	6.350384185040478e+88
1.413e-09	31622776.60168379	1e-09	0.054432715421
1.413e-09	35481338.92335753	1e-09	9.484184633009057e+91
1.413e-09	39810717.05534969	1e-09	0.157148413162
1.413e-09	44668359.21509635	1e-09	0.001108919448
1.413e-09	50118723.36272725	1e-09	0.379166535175
1.413e-09	56234132.51903491	1e-09	4.409608164506
